# derived from /home/jiml/HotWaterResearch/projects/CECHWT24/2016 CBECC UEF/spreadsheet models/Decay_Plotting.xlsx
# from Peter Grant Mon, 31 Jul 2017 12:34:42 -0700 (PDT)
# cool down data from Davis Energy Group field data
# t time (seconds), T Temperature (F)
source,model,t_Delay,T_delay,T_Inital,T_Amb
GLA10311,Noritz NRC111-DVN-0842MC-DV,4160,69.6,71.6,65.9
GLA10311,Noritz NRC111-DVN-0842MC-DV,13200,68.3,72.9,66.7
GPG10212,Navien NP-240,1260,65.7,74.6,64
GSD40411,Rinnai RC80HPi KA2530FFUD,29000,69,83.1,69
GSD40411,Rinnai RC80HPi KA2530FFUD,4100,83.6,86.8,69.4
GLA10311,Noritz NRC111-DVN-0842MC-DV,5780,71.6,84.2,65.9
GSD40411,Rinnai RC80HPi KA2530FFUD,7780,74.8,88.9,69
GSD10211,Noritz NR-71-SV,5380,70.1,85.1,61.2
GSD40411,Rinnai RC80HPi KA2530FFUD,2510,86.6,92.9,69
GPG10212,Navien NP-240,1980,75.8,85.6,61.5
GPG10212,Navien NP-240,599,79.9,86,60.1
GPG10212,Navien NP-240,1670,79,90,62.4
GPG50311,Rinnai RC98HPe KA3237WD-US,1010,62.9,80.9,50.9
GPG10212,Navien NP-240,2140,86.1,92.5,61.6
GPG50311,Rinnai RC98HPe KA3237WD-US,4360,58.9,91,55.8
GSD40411,Rinnai RC80HPi KA2530FFUD,13600,72.8,104,68
GSD40411,Rinnai RC80HPi KA2530FFUD,514,86.1,106,69
GLA10311,Noritz NRC111-DVN-0842MC-DV,2470,73.2,103,66
GPG10212,Navien NP-240,5220,74.2,102,63.7
GLA10311,Noritz NRC111-DVN-0842MC-DV,3220,84.7,107,65.9
GPG10212,Navien NP-240,2170,84.9,105,63.4
GSD40411,Rinnai RC80HPi KA2530FFUD,19600,71,108,66.1
GPG10212,Navien NP-240,1100,91.5,103,59.7
GPG10212,Navien NP-240,2170,86.4,104,60.6
GLA10311,Noritz NRC111-DVN-0842MC-DV,3470,82,111,65.4
GLA50211,Noritz NR66-SV,1930,72.5,104,58.3
GPG50311,Rinnai RC98HPe KA3237WD-US,5160,91.4,105,58.3
GSD40411,Rinnai RC80HPi KA2530FFUD,1910,95.4,116,68.8
GSD40411,Rinnai RC80HPi KA2530FFUD,1360,106,119,69
GSD40411,Rinnai RC80HPi KA2530FFUD,7730,81.7,120,69
GSD40411,Rinnai RC80HPi KA2530FFUD,1110,108,120,69
GPG10212,Navien NP-240,1810,93,113,61.5
GPG10212,Navien NP-240,1100,101,114,59.4
GPG10212,Navien NP-240,2290,95,117,61.9
GPG10212,Navien NP-240,2360,91.7,116,60.7
GLA50211,Noritz NR66-SV,1130,100,122,66.3
GLA50211,Noritz NR66-SV,1360,100,122,66.2
GPG10212,Navien NP-240,1280,106,117,61.1
GLA50211,Noritz NR66-SV,3900,78.1,123,66.7
GLA50211,Noritz NR66-SV,1160,96.7,123,65.8
GLA50211,Noritz NR66-SV,3630,71.7,119,61.6
GLA50211,Noritz NR66-SV,1330,91.8,123,64.8
GLA50211,Noritz NR66-SV,2140,86.6,122,63.5
GLA10311,Noritz NRC111-DVN-0842MC-DV,856,111,124,65
GPG10212,Navien NP-240,2130,96.2,122,62.5
GLA50211,Noritz NR66-SV,2720,75.9,122,62.4
GPG50311,Rinnai RC98HPe KA3237WD-US,38000,66.1,117,56.8
GLA10311,Noritz NRC111-DVN-0842MC-DV,1240,107,125,64.6
GLA50211,Noritz NR66-SV,9210,87.4,122,60.5
GLA50211,Noritz NR66-SV,2550,83.2,123,60.6
GLA50211,Noritz NR66-SV,3060,77.7,123,60.6
GSD10211,Noritz NR-71-SV,2320,92.5,126,63.5
GPG50311,Rinnai RC98HPe KA3237WD-US,6960,63.8,119,56.4
GSD10211,Noritz NR-71-SV,9860,72.1,133,65
GLA50211,Noritz NR66-SV,1050,88.9,136,64.5
GLA50211,Noritz NR66-SV,1380,49.6,122,48.3
GLA50211,Noritz NR66-SV,3160,52.9,127,52.3
GPG10212,Navien NP-240,4100,69.7,146.1,63.5
GSD10211,Noritz NR-71-SV,7560,80,160,69.5
GSD10211,Noritz NR-71-SV,12300,77,161,69.7
GSD10211,Noritz NR-71-SV,3750,83.1,162,66.3
GSD10211,Noritz NR-71-SV,9990,71.6,163,65.3
